hid,dname,pwgt,ppopwgt,relation,partner,children,age,sex,immigr,educ,educ_c,emp,ptime,status1,gross1,hpopwgt,nhhmem,hitsi,hitsu,hitp,hxit,dhi,factor,grossnet,_merge,depemp,achildcat,livepartner,hourwage,logwage,agesq,youngchild,oldchild,mededuc,hieduc,miss_comp,dhi_tb,edhi_tb,poor,thresh
2,it04,.60601908,3487.8555,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,54,[2]female,[0]not immigrant,[2]medium,260,[1]employed,[1]part-time,[220]own-account worker,,3487.8555,4,0,0,0,3525,18500,18500,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,no children <18,1,,,2916,0,0,1,0,0,18500,9250,0,7514.5
2,it04,.60601908,3487.8555,[3000]child,[200]does not have partner,,29,[1]male,[0]not immigrant,[3]high,320,[0]not employed,,,,3487.8555,4,0,0,0,3525,18500,18500,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,,0,,,841,,,0,1,0,18500,9250,0,7514.5
2,it04,.60601908,3487.8555,[3000]child,[200]does not have partner,,26,[1]male,[0]not immigrant,[2]medium,230,[0]not employed,,,,3487.8555,4,0,0,0,3525,18500,18500,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,,0,,,676,,,1,0,0,18500,9250,0,7514.5
4,it04,.2793788,1607.9244,[1000]head,[110]living with partner,[140]living with own children 18+,50,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[220]own-account worker,,1607.9244,4,0,0,0,17738,51075,51075,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,no children <18,1,,,2500,0,0,1,0,0,51075,25537.5,0,7514.5
4,it04,.2793788,1607.9244,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,48,[2]female,[0]not immigrant,[2]medium,230,[0]not employed,,,,1607.9244,4,0,0,0,17738,51075,51075,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,1,,,2304,0,0,1,0,0,51075,25537.5,0,7514.5
4,it04,.2793788,1607.9244,[3000]child,[200]does not have partner,,28,[1]male,[0]not immigrant,[3]high,320,[1]employed,[0]full-time,[110]regular employee,,1607.9244,4,0,0,0,17738,51075,51075,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,784,,,0,1,0,51075,25537.5,0,7514.5
5,it04,.25804454,1485.1382,[3000]child,[200]does not have partner,,35,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,1485.1382,4,21580,0,0,31018,76330,54750,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,1225,,,1,0,0,76330,38165,0,7514.5
5,it04,.25804454,1485.1382,[3000]child,[200]does not have partner,,34,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,1485.1382,4,21580,0,0,31018,76330,54750,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,1156,,,0,0,0,76330,38165,0,7514.5
6,it04,.18759227,1079.6603,[1000]head,[110]living with partner,[140]living with own children 18+,54,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,1079.6603,4,0,0,0,16909,50847,46047,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2916,0,0,0,0,0,50847,25423.5,0,7514.5
6,it04,.18759227,1079.6603,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,52,[2]female,[0]not immigrant,[1]low,130,[0]not employed,,,,1079.6603,4,0,0,0,16909,50847,46047,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,1,,,2704,0,0,0,0,0,50847,25423.5,0,7514.5
6,it04,.18759227,1079.6603,[3000]child,[200]does not have partner,,28,[2]female,[0]not immigrant,[2]medium,270,[1]employed,[0]full-time,[110]regular employee,,1079.6603,4,0,0,0,16909,50847,46047,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,784,,,1,0,0,50847,25423.5,0,7514.5
11,it04,.4741188,2728.7224,[2000]spouse/partner,[110]living with partner,[200]not living with own children,50,[2]female,[0]not immigrant,[1]low,120,[1]employed,[0]full-time,[110]regular employee,,2728.7224,2,0,0,0,373,4083,4083,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2500,0,0,0,0,0,4083,2887.1169,1,7514.5
13,it04,1.7705084,10189.906,[3000]child,[200]does not have partner,,30,[2]female,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,10189.906,2,8840,0,0,6059,26005,17165,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,900,,,1,0,0,26005,18388.313,0,7514.5
14,it04,.25414971,1462.7219,[1000]head,[200]does not have partner,[200]not living with own children,51,[1]male,[0]not immigrant,[2]medium,230,[0]not employed,,,,1462.7219,3,12789,0,0,1500,15928,149,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,0,,,2601,0,0,1,0,0,15928,9196.0352,0,7514.5
17,it04,.54923266,3161.0295,[1000]head,[110]living with partner,[140]living with own children 18+,47,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,3161.0295,4,0,0,0,10540,40066,40066,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2209,0,0,0,0,0,40066,20033,0,7514.5
